,2011 Collar and VIT Data,,,,,,,,,,,,,,,,
,mortality,,,,,,,,,,,,,,,,
,slipped collar,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
REMOVED,Deer #,Date,Shooter,Collar #,Collar Freq,VIT Freq,Antenna Length,General Location,GPS Shot,GPS Recovery,Flight Distance,Min to Recovery,Drug Mix,Age Class,Age,Weight,Notes
No collar #,1,1/24/11,Chitwood,,,152.242,2.25,King; FB 35,17 S 0651292 3882839,17 S 0650954 3882150,,57,,SA,2.5,90,shot twice
No collar #,3,2/18/11,Nunnery,,,,,X26,17 S 0659768 3897180,17 S 0659610 3896746,,15,,A,4+,105-110,
No tracking,5,3/7/11,Lashley,30823,151.019,152.382,2,King; N of FB 4,17 S 0651336 3890023,17 S 0651528 3890069,,17,,SA,2.5+,105,
,9,3/8/11,Young,30829,151.250,152.220,1.5-2,X24,17 S 0659429 3896267,17 S 0659682 3896323,,19,,SA,2+,95,
no tracking,6,3/12/11,Chitwood,30826,151.138,152.374,2.25,N4,17 S 0672740 3893612,17 S 0672385 3893968,,53,,A,3+,90,given additional drug by syringe 
,7,3/16/11,Chitwood,30830,151.348,152.181,3.25,N17,17 S 0673377 3891449,17 S 0673556 3891604,,39,,A,3+,97,
,12,3/17/11,Lashley,30828,151.210,152.019,1.5-2,X9,17 S 0661398 3896181,17 S 0661303 3896177,105 yds,133,,A,3+,103,
,10,3/25/11,Lashley,30825,151.539,152.642,2.125,Plank; 4.3 mi E of King,17 S 0659171 3880890,17 S 0659128 3880763,120 yds,53,1.7 XT; 0.3 K,A,3+,98,left before fully recovered
,11,3/26/11,Lashley,30831,151.408,152.202,1.5-1.75,Plank; 3.1 mi E of King,17 S 0657124 3880963,17 S 0657214 3881115,180 yds,118,2.0 XT,A,3,90,left before fully recovered
,13,3/27/11,Kilburg,30824,151.058,152.702,1.75,X16,17 S 0660808 3897691,17 S 0660654 3897766,,8,1.7 XT,A,3+,90-95,
,14,3/30/11,Lashley,30827,151.178,152.542,1.25-1.625,690; near Alpha Construction,17 S 0676873 3896724,17 S 0676849 3897052,0.21 mi,49,1.7 XT,A,3+,85,
,17,3/31/11,Young,30833,151.477,152.442,1.5,King; S of FB 15,17 S 0651065 3886653,17 S 0650863 3886803,0.16 mi,70,1.7 XT,A,5+,110-115,
No tracking,16,4/3/11,Chitwood,30875,151.979,152.133,1.5-1.75,M16,17 S 0670847 389176,17 S 0671335 3891126,0.3 mi,75,,A,3 to 4,110,shot twice
No collar #,18,4/6/11,Nunnery,,,,,King; FB 7,17 S 0651213 3888869,17 S 0651388 3888760,0.13 mi,22,,A,"6+, 10?",100,
,19,4/6/11,Sherrill,30864,151.518,152.043,2.75,Manchester; W of Ranger Loop,17 S 0661648 3894767,17 S 0661585 3894665,419 ft,31,,SA,2+,85,given additional drug by syringe 
No tracking,20,4/7/11,Chitwood,30862,151.369,152.120,1.75,Manchester; W of Latham,17 S 0671420 3892850,17 S 0671476 3892977,453 ft,15,,SA,2+,90,
No tracking,21,4/7/11,Sherrill,30874,151.938,152.562,2.25,W14,17 S 0663769 3894692,17 S 0663636 3894590,0.1 mi,21,,SA,2,80,
,22,4/12/11,Chitwood,30872,151.871,152.082,2.75,King; N of Ferguson,17 S 0651738 3881073,17 S 0651873 3881046,444 ft,73,1.3 XT; 0.7 K,SA,2+,75-85,
,23,4/12/11,Young,30863,151.459,152.062,1.5-2.0,Plank; 4.4 mi E of King,17 S 0659535 3880922,17 S 0659498 3881043,420 ft,40,1.2 XT; 0.8 K,A,5+,97,
No tracking,24,4/14/11,Lashley,30832,151.439,152.521,1.75,King; S of FB 18,17 S 0651311 3885803,17 S 0650955 3885795,0.22 mi,10,1.2 XT; 0.8 K,SA,2+,87,chased and restrained after reversal to replace collar
